DT NNS VBP VBN IN NNS IN NNS ( NN NNP .,1
CD NN ) CC NNP NN VBZ NNP NN ( CD NN VBD CD NN ) .,1
"IN DT CD NNS NN CD CC RB , EX VBD CD .",1
NNP NNP IN DT NNP IN NNP VBD DT NN CD IN IN CD NNS .,1
"RB , DT JJ NN IN JJ NN VBZ DT NN TO VB JJ NN .",1
"VBG NNS NN ( NNP NNP NNP ) NNP NNP NNP VBD RB VBN IN NNP CD IN JJ NNP ( ) , DT NNP NN JJ NNS NN VBN IN CD TO CD IN NNP NNP .",1
"IN NNP CD , NNP VBD NNP POS NN , VBG PRP TO DT NNS TO VB DT JJ NNP .",1
"CD IN DT NNS VBD IN DT NN IN NNP POS JJS JJ NNS NNP VBD VBN NNP , DT NN TO DT JJ NN NN IN JJ NNS , NNS CC NN NNS .",1
"NNP NNP ( VBN NNP CD , CD IN NNP , NNP ) VBZ DT JJ NN IN DT NNP .",1
NNP CC NNP VBD VBN IN NNP NNP NN IN CD IN NNP NNP NNP .,1
DT NN IN DT NN VBD IN NN IN `` NNP NN '' ( NNS VBG IN DT NN ) IN DT NNS VBD RP IN NN IN PRP$ JJS NN NNS .,1
NN ) .,1
"DT NN , WRB NN IN JJ NNS , VBZ RB RB JJ JJ TO NN CC NN IN PRP$ NN IN TO PRP$ JJ NNS IN DT JJ , IN PRP VBP DT JJ NN IN NNS CC NNS , IN PRP MD RB VB DT NNS IN PRP$ NN .",1
`` NNP NNP JJ NNP NNP NNP JJ NN '' .,1
"NNP VBD IN PRP$ NN POS NN IN CD , WRB PRP VBD DT NN IN DT JJ NN IN NNP .",1
"IN CD , DT NN VBD VBN PRP$ NN TO NNP NNP CC VBD NN NNS , NNS CC NNS .",1
NNP NN VBZ DT NN IN DT NNS IN JJ NN CC JJ NN .,1
"DT NNP VBD : NNP NNP NNP CC NNP VBD VBN TO VB IN NNS IN DT JJ NN CC JJ NNS , IN EX VBD JJ NNS VBD TO VB DT NNS .",1
"IN NNP NNS VBP VBN IN DT NN , DT NN IN NN , NN , CC DT NN VBP IN JJ NN .",1
", DT JJ VBN IN DT NN ) .",1
"IN DT NN , NNP VBD DT RBS JJ JJ NN IN DT NNS VBP RB VBN , VBG NNP NNP POS CD NN , $ CD CD NN VBN RB TO DT CD NN .",1
"DT NN VBD NNS IN DT JJ NN , JJ IN WP VBD IN DT NN CC VBD TO NNP .",1
"IN JJ NNS VBG NNS IN DT NN , NNP NNP VBZ RB JJ .",1
"NNS JJS NNS IN DT NNP NNP NNS NNP NNP , CD , CD NNP CD CD NNP CD JJS NNS IN RB VBG IN DT NNP NNP NNS NNP NNP , CD , CD NNP CD CD NNP CD NNP IN CD NNP NNP JJ NNS NNP NNP , CD , CD CC CD NNP NNP , CD , CD CC CD NNP NNP , CD , CD CC CD NNP NNP , CD , CD CC CD NNP NNP , CD , CD CC CD NNP NNP , CD , CD CC CD NNP NNP , CD , CD CC CD NNP NNP , CD , CD CC CD NNP NNP , CD , CD CC CD NNP NNP , CD , CD CC CD NNP NNP , CD , CD CC CD NNP NNP , CD , CD CC CD NNP NNP , CD , CD CC CD JJS JJ NNS IN DT NNP NNP NNS NNP NNP , CD , CD CC CD NNP NNP , CD , CD CC CD NNP NNP , CD , CD CC CD NNP NNP , CD , CD CC CD NNP NNP , CD , CD CC CD NNP NNP , CD , CD CC CD NNP NNP , CD , CD CC CD NNP NN TO VB IN DT NNP NNP NNS NNP NNP , CD NNS , CD NNS , CD NNP CD , JJ NN .",1
"DT JJ NN IN JJ NNS VBZ NN IN DT NN IN NNS CC PRP$ JJ , JJ CC JJ NNS .",1
"DT NN VBZ DT NN TO DT JJ NN NN IN NNP IN DT JJ NN : DT NN VBZ RB VBN , IN JJ NN NN CC JJ NNS .",1
"NNP NNP POS NN : DT RB JJ NN IN DT NNP VBZ PRP$ NNP NN NNP , WDT VBZ NNS , NNS , CC RB NNS CC NNS IN NN .",1
"DT NN IN NNP VBN TO JJ JJ NN CC JJ NN NNS ( VBN IN NN CD IN DT NNP , CD ) VBD VBN IN NNP CD NNP NN NNP CD VBD IN CD NNS VBD IN CD NNS .",1
"NNP JJS NNS NNP NNP , CD , CD NNP CD CD NNP CD JJS NNS IN JJ NNS ( NNP NNP , NNP NNP CC NNS ) NNP NNP , CD , CD NNP CD CD NNP CD JJS NNS IN DT NN NNP NNP , NNP NNP , NNP NNP CC NNP NNP , DT CD CD NNS CC JJR IN DT JJ NN IN DT JJS NN IN NNS NNP NNP , NNP NNP , NNP NNP , NNP NNP CC NNP NNP , RB DT CD NNS CC JJR IN DT JJ NN IN DT JJS NN IN NNS NNP NNP , CD NNS VBG IN JJS JJ NNS NNP NNP , CD , CD NNP CD CD NNP CD NNP NNP , CD , CD NNP CD CD NNP CD NNP NNP , CD , CD NNP CD CD NNP CD VBG IN JJS JJ NNS NNP NNP , CD , CD NNP CD CD NNP CD JJS NNS IN NN NNP NNP , CD , CD NNP CD , JJ NN NNP NNP NNS IN DT JJ NNP NNP NN NNP NNP , CD , CD NNP NNP JJS NNS IN JJ IN NNP NNP NNS NNP NNP , CD , CD NNP CD CD NNP CD JJS NNS IN DT JJ NNP NNP VBG NN NNP NNP , CD , CD NNP NNP NN , CD CD JJS NNS IN DT JJ NNP NNP NNS VBP NNP NNP , CD , CD NNP CD , JJ NN .",1
JJ NN NNS IN JJ JJ NN CC JJ NN IN DT JJ NN ( CC NN ) IN VBG DT NN IN JJ NN IN JJ NN .,1
NNS VBP VBN IN DT NN IN VBZ : NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNPS VBD NNP NNP NNS IN NNS NNP IN JJ CD NN NNP NN NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP PRP VBP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP ( NNP ) NN ( NNP ) NN ( NNP ) NN ( NNP ) NNP NNP NN ( NNP ) NN ( NNP ) NNP NN ( NNP ) NN ( NNP ) NN ( NNP ) NN ( NNP ) NN ( NNP ) NN ( NNP ) NN ( NNP ) NN ( NNP ) NNP NNP ( NNP ) NN ( NNP ) NN ( NNP ) NNP ( NNP CC NNP NNP ) NN ( NNP ) NNP ( NNP CC NNP ) NNP NNP ( NNP ) NN ( NNP ) NNP ( NNP NNP ) NN ( NNP ) NNP NNP NN ( NNP ) NN ( NNP ) NN ( NNP ) NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP ( NNP ) NN ( NNP ) NN ( NNP ) NNP NNP NNP ( NNP ) NNP NNP NNP NNP NNP NNP NN ( NNP ) NNP NNP ( NNP NNP ) NNP NNP ( NNP ) .,1
DT JJS NN NN NN VBZ IN NNP CC VBD RP IN NNP .,1
NNP NNP .,24
NNP NN VBD RB VBN TO DT NNS CC VBN RB JJ NNS IN VBN TO DT JJ NN RB IN DT NN .,1
"NNP VBZ DT NN IN NNP IN NN NN , VBG TO VB PRP , CC RB VBG NN , PRP VBZ TO VB DT JJ VBD NN CC NNP , WP VBD PRP IN DT NNS .",1
IN DT NN IN CD DT NN VBD VBG PRP IN DT NN NNP NNP NNP .,1
"PRP$ JJ NN , JJ FW NNP NNP , VBD JJ NNP NNP NNP , VBG RP IN NNP NNP DT JJ NN IN DT JJ CD JJ NNS IN PRP$ NNS CC NNS IN WP VBZ RB DT NNP CC DT JJ NNP .",1
"DT NN VBD RB VBN IN DT NNP NNP IN NNP NNP NNPS IN CD , CC DT JJ NN VBD VBN IN DT JJ NN NNP NNP IN CD .",1
.,65
CD NN IN DT IN DT NN IN CD CC CD .,1
IN DT NN IN NNP NNP .,1
NNP VBZ DT NN IN NNS IN DT NNP NN .,1
"RB IN CD PRP VBD PRP TO VB TO NNP IN DT NN IN NN NNP NNP NNP , IN NNP NNP NNP CC NNP NNP .",1
DT NN VBZ DT NN RB JJ IN JJ CC JJ NNS .,1
"DT JJ NN JJ CC NN IN CD , WRB PRP VBD VBN IN NNP NNP NNP NNP CC NNP NNP NNP NNP .",1
"VBN IN NNP CD , NNP NNP NNP VBZ VBN IN VBG DT NN CC VBG JJ NN IN PRP MD VB NN NN .",1
"IN NN , DT NN IN DT JJ NN VBD IN DT JJ NN NN IN NN .",1
PRP VBZ VBN IN VBG NNP ( NNP ) CD IN NN NN CC DT JJ NN NN VBN IN NN .,1
"DT NNP NNS , RB VBN IN DT NN , VBD DT JJ NNS WP VBD DT JJ NN IN DT NN IN NNP FW NNP IN NNS IN NNS IN NNPS VBN .",1
NN IN DT NNS VBN IN DT NN IN CC DT NN CC JJ NNS VBD IN TO DT JJ .,1
NNP VBZ VBN IN CD IN DT JJ JJ NNS IN DT JJ NN IN DT JJ NN .,1
"LS ) NNP NNP JJ : # CD NNP NNP NNP , NNP NNP , CD .",1
DT NNS VBN IN DT CD .,1
"NNP POS CD RBS JJ JJ NNS VBP DT NNP NNP , WDT VBZ VBN IN DT NNP NN , CC DT JJ NN VBG DT NN IN DT NNP NNP POS NN .",1
"RBR IN RB IN , PRP VBP NNS VBN IN DT NNS IN JJ NN .",1
"PRP RB VBD JJ NN NNS , CC VBD RB IN PRP$ NN IN NNP NN NNS TO DT NN IN JJ JJ NNS IN NN JJ NN .",1
DT NN NN VBZ VBN DT NNP NNP .,1
DT NN VBD IN JJ NN IN CD VBG DT JJ NNP NNP .,1
IN NN # CD .,1
"IN NNP , NNP CD VBZ DT NN CC RB JJ JJ NN IN NNP CD , WRB PRP VBZ IN JJ VBG TO CD NNS CC RB TO CD NNS .",1
DT JJ NNP NNP IN DT NNP NNP NNP VBZ NNP NNP NNP .,1
DT JJ NN IN DT CD NN VBD $ CD IN NNS CC $ CD IN NNS .,1
"CD , NN .",2
PRP$ NNS IN PRP$ JJ NN IN NN VBD IN JJ NN IN DT NN VBD DT NN CC VBD TO VB PRP .,1
DT JJ NN VBZ RB JJ TO PRP$ NNS CC DT JJ NN VBZ JJ RB IN DT RBR JJ NN .,1
NNS '' .,1
"CC NN NN ( CD ) VBZ JJ TO JJS JJ NNS IN DT JJR JJ NN VBZ IN DT RBR JJ NN : IN NN NN DT NN , DT JJR JJ NN MD VB RB , IN IN NN ( CD ) : NN IN IN NN ( CD ) VBZ VBN IN NNP IN DT JJ NN , IN NNP PRP VBZ RB JJ .",1
"NNP CC NNP NNP NNP NNP NNP NNP FW FW NNP CC NNP NNP NNP NNP NNP NNP NNP NNP NNP MD NNP NNP NNP DT NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP ( CD CD ) , JJR VBN IN NNP NNP , VBD DT NNP NNP NN , NN CC NN .",1
RB VBN IN DT NN IN CD .,1
DT `` JJ NN '' VBZ WRB JJ NN ( DT NN NN IN NN POS NNS ) VBZ VBN RP RBR IN PRP MD VB VBN .,1
DT JJ NN VBZ NNP NNP .,1
DT NN RB IN DT JJR NN ( CC RB JJ JJ NNS ) VBP RP DT NN NN .,1
"NNP NNP NNP VBD DT JJ NN CC JJ NN VBN IN PRP$ JJ NN IN DT NN IN VBG DT JJ VBN IN JJ NN , NNP NN NN , NNP NN .",1
NNP NN VBZ JJR IN DT JJ NNP NN ( RB CD NN VBD CD .,1
"PRP RB VBD IN PRP$ NN IN NN DT NN IN NNP , ( JJ NNP ) , JJ NNP NN , ( NNP NNP ) ( NN NNP NNP ) .",1
"CC IN DT NN RB , DT JJ NNP NN NN NN IN NNP NNP PRP$ VBD CD JJR JJ NNS IN NNP .",1
"( VB DT NN NN VBZ VBN IN NNP NNS TO VB TO DT NN WDT VBZ NN CC NNS IN DT JJ NN , CC IN JJ VBZ RB IN DT NN .",1
"NNP NNP : NN NN NN NNP NNP , NNP CD , NN .",1
"JJ NNS VBP JJ NNS WP MD VB JJ TO VB NNS TO VB `` IN JJ , RB DT NN IN NNP '' ( NNP CD ) .",1
"NNP VBD VBN CD , CC CD NNS IN DT NN NNP NNP POS NN VBD DT NN IN DT NN POS CD NNP NNP RB TO PRP$ NN IN NNP , NNP IN NN .",1
"RB , DT JJ NN IN NNP , NNP .",1
"NN VBZ IN `` JJ DT CD MD VB VBN IN DT JJ JJ NN IN PRP VBZ , CC MD RB VB VBN IN DT NN NN .",1
NNP NNP VBZ IN `` DT NN IN NNP VBZ VBN DT NN VBZ IN NNP VBZ VBN RP JJ NNS IN DT NN WDT JJ NNS VBP RB VB NNS IN NNP VBZ JJ .,1
DT NN IN JJ CC JJ NN NN VBZ IN PRP$ JJ NN .,1
NNP NNP '' .,1
"DT NNP IN NNP VBD TO VB PRP$ NN WRB PRP VBD PRP RP IN CD , CC IN CD PRP VBD VBN IN NN NNS .",1
"IN DT CD , NNP VBD NN TO JJ IN DT JJ JJ JJ NNS CC IN CD VBD IN DT JJ JJ NN IN NNP NN NN NNP NNP NNP .",1
NNP NNP NNP VBZ DT JJ NN IN NNP NNP POS CD POS NN NN DT NNP NNP .,1
DT NNP NNP VBD DT NN POS NN IN PRP VBD RB VBN RB .,1
"IN IN DT NN IN CD , EX VBD CD NNS , CD NNS , CC CD NNS VBG IN DT NN .",1
"NNP , NNP , NNP , NNP NNP CC NNP VBD DT NN IN DT NNP TO DT NNS IN JJ NNP , WDT VBD VBN IN CD NNP CD .",1
DT NNP NNP CC NNP NNP VBD DT NNP NN WP VBD NNP : NNP NNP NNP : IN VBG DT NN IN NNP DT NNP CC DT JJ NNP .,1
"NNP NNP NNP NN VBZ NNS CC NNS VBN IN DT NNP NNP IN NNP NNPS IN NNP NNP , NNP NNP .",1
"PRP VBD VBN IN NNP NNP , NNP NNP .",1
"DT NNP NNP NNP VB DT NN , VBG DT NNS IN NNS .",1
JJ CC NNP NNP .,1
"RB IN JJ NN NNS IN NNP ( WDT VBP JJ IN NNP ) , DT NN VBZ IN DT JJ JJ NNS VBG JJ NN CC JJ NN .",1
DT NN VBD DT NN NN IN DT JJ NN NNP IN CD IN DT NNP .,1
"PRP$ NN VBD VBN IN CD , CC RB PRP VBD JJ NN NNS VBG DT NN NN NNP NN NNP IN NNP NN ( NNP ) IN NNP IN CD .",1
"IN DT NN PRP RB VBD IN DT NN IN NNP , VBD DT NNP NNP , DT JJ NN IN DT JJ NN IN NNP NNP CC DT NNP IN DT NNP NNP .",1
: NNP NNP .,1
"NN IN NNP CD , NNPS CC NNP VBD VBN IN JJ NNP IN NNP , WDT VBD CD .",1
"NNP NNP VBD DT JJ NN IN NNP NNP IN NN , JJ NNS , NNS CC JJ NNS IN NN .",1
`` NNP NNP NNP : NN '' NNS '' JJ NNP IN NNPS CC NNP .,1
DT NN NN VBD CD .,1
CD WRB VBG NN ) .,1
"IN CD , NNP VBD DT JJ JJ NN TO VB NN IN NNS IN DT NNS IN NN , NN , JJ NNS , CC NNS .",1
DT NN VBZ DT NN RB VBN IN JJ NNS IN NN .,1
JJ NNS CC NNS VBD VBN IN CD TO JJ NN .,1
"NNP NNP , CC NNP NNP .",1
"NNP VBZ VBP NNP NNP NN NN NNP CD ( CD ) : JJ NNP NN IN DT NN ( IN NNP ) NNPS , NNP .",1
"NNP IN DT NNP NNP IN DT NNP NNPS NNP VBD IN JJ NNP ( VBG `` NNP NN '' ) VBD DT JJ NN NN VBG IN JJ NNP NN IN CD NNS IN NNP , NNP .",1
"JJ VBG , NN IN NN ) CC JJ ( NN .",1
"IN DT NN IN JJ NNP NNP , DT CD NNP , VBD IN NNP , NNP , VBD TO VB DT NNP NNS .",1
VBN NNP CD .,1
"IN JJ NNS , PRP VBZ IN DT NN IN DT JJ , JJ NN CC DT JJ NN .",1
"IN NNP POS NN , RB JJ NNS VBP RB JJ .",1
"DT JJ JJ NN NNS VBD NNP NNP , NNP NNP , NNP NNP , NNP NNP , NNP NNP , NNP NNP , NNP NNP CC NNP NNP .",1
"JJ NNP NN NNP NNP VBD `` DT NNP '' VBD DT RB JJ NN , CC RB VBD DT NN IN DT NNP CC NNP NN .",1
DT VBN NNP VBZ VBN JJ NN IN NN NN .,1
DT JJ JJ NN VBD RB VBN IN DT NN IN DT CD JJ NN NNP VBN IN NNP NNP CC VBN IN NNP NNP .,1
"DT JJ NNP NNP ( NNP ) VBD DT VBN NN VBN IN JJ NNS IN CD IN NNP JJ NNP , RB IN NNP NNP NNP .",1
"IN NN , PRP VBD DT JJ NN IN DT NN RB .",1
CD NN ) TO DT JJ DT JJ JJ NNP .,1
NNP NNP IN NNP CC NNP ( CD ) .,1
VB DT NNP NNP NNP NNP IN NNP IN NNP CC NNP NNP NNP NNP VBZ DT JJ NN VBD IN CD IN NNP NNP .,1
PRP VBD VBN IN DT NNP IN NNP IN CD .,1
"EX VBZ RB DT JJ NN VBN TO DT NN , NN .",1
IN DT NN PRP VBD TO PRP$ NNS RB IN PRP$ NN PRP VBD NN IN VBG VBN IN NNP JJ NN .,1
"DT NNP VBD DT JJ NN NN NN IN NNP NNP NNP RB VBD IN DT VBG NN , IN NNS WP RB VBD NNP CC NNP IN NNP .",1
DT NN NN VBZ DT JJ JJ JJ NN IN NN WDT VBZ TO DT NNP PRP JJ JJ NN .,1
"DT CD JJ NNS VBD NNP NNP , NNP NNP , CC NNP NNP .",1
NNP NN NN NNP NNP NNP NNP IN NNP NNP .,1
NNP ( NNP NNP ) IN DT NN .,1
"JJ NN NNS CC NN NNS VBP VBN VBN IN JJ NNS TO VB NN NNS , RB VBG NN NNS IN JJ NN NNS .",1
"PRP RB VBZ TO NNP POS NN NN , VBG NNP CD CD .",1
"DT NNP , NNP CD ( CD ) DT NNP NNP IN NNP , NNP CD ( CD ) NNP , NNP CD ( IN NNP , NNP , NNP ) NNP , NNP CD ( IN NNP ) DT NNP NNP IN CD JJ NNS IN NN , NNP CD ( CD ) DT NNP NNP IN CD NNS , NNP CD DT NNP POS NNP ( NNP , NNP CD DT NNP POS NNP , NNP CD ( CD ) NNP NNP NN IN NN NNS , JJ NN CC NN ( CD ) DT NNP ( IN NNP ) IN NN NNS , NN CC NN ( CD ) DT JJ NNP ( IN NNP NNP NN ) , NNP IN CD NN ( CD ) NNP ( IN NNP NNP ) , DT JJ NN IN CD NNS ( CD ) NNP , NN ( IN NNP NNP , CD ) IN DT NNP IN NNP CC DT NNP IN NNP NNP ( CD ) DT NNP NNP NNP , CC , NNP ( CD ) NNP NN NNP NN NN DT NN VBZ VBN IN DT NN IN DT JJ NN IN DT JJ NNP .",1
"NNP VBD PRP$ JJ NN IN CD NNP CD WRB PRP VBD IN NNP IN NNP NNP , NNP IN DT JJ JJ NN IN NN NN IN NNP NNP .",1
PRP VBD CD .,1
"IN CD , DT JJ NN IN DT NN IN NN NN VBD VBN IN NNP IN NNP NNP CC PRP$ NN .",1
VB `` WP VBZ NNP '' .,1
"`` DT NNP '' , IN IN DT JJ CD JJ NN NNS IN NNP CC NNP , VBD VBN IN DT JJ NNP NN IN DT NNP NNPS IN NNP CD , CD .",1
"NNP NNP , DT .",1
"PRP VBD CD NNS IN DT NNP IN DT NNP NNP , NNP NNP CD , CC NNP NNP NNP .",1
"NNP CC NNP VBD IN VBG DT NNS `` EX VBZ DT NNP NNP '' CC `` JJ '' , WDT PRP VBD IN DT JJ .",1
DT NNS MD VB VBN RP IN NNS VBN IN NN NNS .,1
"POS '' : DT NN IN DT NN IN NNP VBZ PRP TO DT NN NN CC DT JJ NNP NNP POS POS : JJ NN DT JJ NN IN NNP VBG TO DT JJ NN CC VBG DT NN NN , DT NN CC DT NN IN NNS : DT JJ NN IN DT NN , NNP , VBZ NN DT JJ : IN DT NN JJ NNP CD CD NNS RB DT NN NN , RB DT NNS NNP CC NNP CD DT NN VBZ TO DT .",1
"NNP NNP NNP IN NNP NNS ( NNP , CD NNP CD : CD NNP CD ) VBD DT JJ NN , NN , VBP NN , NN IN NNP NNP CC NNP NNP , CC JJ NN .",1
NNP CD NNP CD NN .,3
DT NN VBD VBN IN NNP NNP .,1
"DT VBZ RB TO VB , RB , IN RBR JJ NNS VBP VBN IN DT NN : `` VBN NNS IN NNP '' CC `` NN NNP NNP PRP VBP '' VBP JJ NNS IN DT , CC RB RB VB IN PRP$ NN DT JJ NN IN NNP NNP NNS .",1
CD NN ) CC RB CD NN IN CD NNS ( CD .,1
"NNS VBD IN NNP NNP RB IN CD NNP CD , CC VBD VBN IN DT NN IN CD .",1
NN IN NNP CD ( JJ : CD VBG NNP CD ) VBD DT JJ JJ NN JJ NN NN WDT VBD VBN IN CD IN NN IN DT NNP NN POS NNP NN .,1
VBN JJ .,6
"CD CD NNS , CC DT NNP NNPS IN DT NNP , WDT VBD CD .",1
NNP NNP NNP NNP NNP NNP : NN VBG NNP : NNP NNP NNP NNP : NNP NNP NNP NNP : NNP NNP NNP CD : CD JJ NNP NN NNP CD : CD NNP NNP NNP NNP NNP CD : CD NNP NN NNP CD : NNP CD NNP NN NNP CD : VBG NNP VBG NN NNP CD : NNS VBP NN NNP JJ : CD NNS NNP NNP CD : CD NNP VBG NNP CD : NNP CD NNP VBD NNP NNP : CD NNP NNP NNS NNP CD : CD NNP NNP NNP NNP VBG NNP CD : CD NNP NN VBZ TO VB .,1
"RB , JJ NN , NN NN CC NN VBP VBN TO NNP VBG VBN IN NNP NN .",1
DT NN IN DT JJ NN NNP CC NNP NNP CC NNP VBD DT JJ NN TO VB RB NNS NNP NNP .,1
"IN NNP CD , CD VBG DT NN IN DT JJ NN , NNP VBD VBN TO DT NN IN DT NN NN , CC VBD RB VBN NNS .",1
"VBN IN DT NNP NNP NNP NNP IN NNP NNPS , DT NNS VBP NNS IN JJ NNS .",1
"IN DT NN VBD RB VBN DT NNP NNP , NNP NNP VBD RB IN DT NN IN DT NN IN PRP$ NN NNP NNP .",1
DT NNS VBZ JJ NNS IN CD JJ JJ NNS .,1
"IN CD : CD , NNP NNP NNP VBD IN NN IN `` NNP '' , VBG DT NN IN NN IN DT JJ NNP NNP NNP IN JJ NNS ( NNP ) .",1
"VBG NNP IN NNP CC NNP NNP NNP RB RB VBD PRP$ NN TO VB IN NN , CC IN CD NNP , CD NN IN DT NN NN , PRP VBD IN PRP MD RB RB VB DT NN .",1
NNP NNP NNP VBD PRP IN NN .,1
"PRP RB VBD PRP$ NNP NN , CC DT JJ NN JJ .",1
"NNP NNP NNP , NNP IN NNP ( CD CD ) , IN WP VBZ VBN DT NNP NNP , NNP .",1
NNP VBZ DT JJ NN IN NN IN DT NN NNP .,1
PRP$ JJ NN NN VBD DT JJ NN IN NN NNS .,1
"DT NNS MD RB VB VBN IN CD JJ NNS : VBG VBG JJ NN VBG VBZ NNS JJ IN NN , NN , CC VBG .",1
NNP NNS TO DT NNP NNP .,1
NN CC NN CC NN NN NNP .,1
JJS VBN NN IN PRP$ NN IN VBG IN NNP .,1
DT NNP VBZ IN PRP VBZ TO VB RB JJ TO VB DT NN IN JJ NNS .,1
"IN PRP VBZ WP VBZ VBG IN , DT RB JJ NN VBZ PRP TO VB DT JJ CC JJ NNP NN .",1
"NN NNS , NNP , NNP CC NNP NNP NNS VBP JJ NNP ( CD .",1
"DT NN IN NNP NNP VBD RB VBN IN DT NN IN NN POS NN IN NNP NNP , DT JJ NN IN DT NN .",1
"PRP VBD VBN IN CD , IN NNS VBN IN NNP IN NNP IN CD CC RB IN JJ NN NN NNS RB IN NNP IN NNP VBD , IN IN JJS NNP CD .",1
"JJ NNP CC DT NNP VBD VBN RB , VBG NN IN DT NN IN DT NNP IN DT NN , CC DT JJ NN IN NNS IN DT JJ NNPS .",1
"NNP NNP NNP ) DT NNPS ( CD , NN .",1
"PRP VBD IN CD , CC DT NN VBD VBN RP IN NNP NNP IN NNP , WP VBD DT NN .",1
"IN `` DT NNP '' , NNP VBZ VBN TO VB DT RB JJ NN .",1
DT RBS RB JJ NN IN JJ NN VBZ DT NN NN JJ NN IN JJ NN .,1
"`` DT NNP NNP NNP CD NNP VBZ NNP '' , NNP IN NNP CD ( NNP CD ) CD ( VBN NNP CD , CD ) .",1
"NNP VBD RB IN DT NN NN IN DT CD CD NNP NNP NNP , RB PRP VBD RB VB PRP IN IN DT NN , IN VBG VBN IN NNP NNP , NNP NN CC NNP NNP , VBG NN IN DT NN IN CD NN .",1
NNS IN NNP DT NN VBZ NN IN DT JJ NN IN DT JJ NNP .,1
PRP VBD VBN IN CD .,1
"NNP VBZ RB VBN IN CD NNS , JJ NN NNS , CD NNS , CC NN NNS IN DT NN .",1
"NNP VBD PRP$ JJ JJ , CC JJ JJ , JJ NN CC VBD DT NN POS JJ NN TO DT CD NNP NNP PRP NNP NNP .",1
"RB RB IN PRP$ JJ NN , NNP VBZ VBN DT NN IN JJ NNS VBD DT NNP NNP NNP CC NNP NNP NNP .",1
"IN NNP CD , CD , DT NNP NNP VBD NNP , DT NN CC NN NN VBN IN NNP IN CD IN NNP NNP .",1
"CD ) VBZ DT JJ NN CC JJ NN RB NNP NNP NNP CC NNP NNP IN NNP NNP , DT NN POS JJS NN IN NN NNS .",1
CD WRB VBG NN ) PDT DT NN TO $ CD IN NN NN NNP NNP ( $ CD .,1
"`` JJ NN '' , IN DT RB RBR JJ NN IN DT NNP POS NNP VBZ JJ NN , DT NN VBN RBR RB IN NNP NNP NNP IN DT JJ `` NNP IN DT NNP '' CC `` IN NN NNPS '' : IN NNP CC VBZ DT JJ `` NNP '' CC `` NNP NNP IN NNP '' : IN `` NNP NNP '' DT JJ JJ NN IN DT NN .",1
"DT NN VBD DT JJ NN , DT JJ CD IN DT NN IN NNS IN NNP IN VBD PRP$ CD IN DT JJ NN NNS IN JJ NN .",1
NNP VBD DT NNP NNP NNP NNP IN DT NNP NNP NNP NNP .,1
"DT NN RB VBZ DT NN IN DT JJ NNP NNP , WRB DT JJ NN VBZ DT NN IN NNP IN DT NN , RB NNS IN TO DT JJ NN IN JJ NNP NNS , NNS , CC VBD NNS NNS , DT RB IN DT NNP NN , IN DT VBG NN NN NNS IN NNP IN DT NN .",1
NNP NNP VBD VBN NNP NNP NNP NNP .,1
"DT NNP NNP VBZ DT JJ JJ NN NN VBN IN DT NNP NNPS IN NNP IN CD IN CD NNS IN DT NNP , DT NN NN VBN IN NN IN PRP$ JJ NN .",1
EX VBP DT JJ CD JJ NNS VBG JJ NN CC NN IN NNP NNP NNS CC NN .,1
"IN DT CD , DT NN : WDT VBD RB VBN IN DT JJ NN VBN IN DT NN IN DT NNP NN : VBD JJ IN DT NN IN JJ NNS , WDT VBD DT NN IN DT JJR NN CC NN IN DT NN POS JJ JJ NN , IN DT NN IN DT RB JJ NNS IN JJ JJ NNS .",1
PRP VBD VBG NNS TO NNP .,1
NNP NNP NNP VBZ DT JJ NN IN NNP .,1
JJ CC JJ NNS .,1
DT JJ NNP NNP NNP NNP ( NNP NNP ) VBD VBN TO JJ NN NNS IN NNP POS NN .,1
"NNP NNP NNP ( JJ : : NN : NNP NN NNP NN , NNP : NNP NN NN , NNP : NNP NNP , NNP : NNP .",1
DT NN NN IN DT NN VBZ : `` DT NN IN NN CC DT NN IN NN VBP IN DT NN IN NNS .,1
DT NNP MD RB VB DT JJ NN TO DT JJ NN CC IN NNP CD DT NN NN VBD TO VB DT JJ NN NNP NNP .,1
NNP VBD PRP$ NN NN IN DT JJ NN IN NNP .,1
"PRP VBZ CD JJ NNS , NNP , NNP , NNP , NNP , NNP , NNP CC NNP .",1
"PRP VBD RP NNS CC VBD DT NN VBN NNP NNP NNP , CC VBD IN TO VB CD IN DT JJ NNS IN NNP .",1
"NNP NN VBZ RB JJ IN DT NN IN NNP CD POS NN , WRB DT NN IN JJ JJ NNS MD VB VBN , CC IN PRP$ NN EX VBP JJ NNS RB RB IN DT NNS IN JJ NN .",1
NNP VBZ VBN IN DT `` NNP NNP '' NN NN `` JJ NN '' IN CD IN DT JJ NN NNS DT NN POS NN NNS .,1
